node_i,node_j,perfil
0,2,Tubo A
1,3,Tubo A
0,4,Tubo A
1,5,Tubo A
2,4,Tubo A
3,5,Tubo A
0,10,Tubo A
1,11,Tubo A
4,10,Tubo A
5,11,Tubo A
4,8,Tubo A
5,9,Tubo A
4,6,Tubo A
5,7,Tubo A
2,32,Tubo A
3,33,Tubo A
4,32,Tubo A
5,33,Tubo A
6,14,Tubo A
7,15,Tubo A
6,8,Tubo E
7,9,Tubo E
8,14,Tubo A
9,15,Tubo A
8,12,Tubo A
9,13,Tubo A
10,12,Tubo A
11,13,Tubo A
14,12,Tubo A
15,13,Tubo A
14,16,Tubo A
15,17,Tubo A
12,16,Tubo A
13,17,Tubo A
6,32,Tubo A
7,33,Tubo A
12,18,Tubo A
13,19,Tubo A
16,18,Tubo A
17,19,Tubo A
16,20,Tubo A
17,21,Tubo A
18,20,Tubo A
19,21,Tubo A
18,22,Tubo A
19,23,Tubo A
20,22,Tubo A
21,23,Tubo A
22,30,Tubo A
23,31,Tubo A
30,26,Tubo A
31,27,Tubo A
22,24,Tubo A
23,25,Tubo A
22,26,Tubo A
23,27,Tubo A
24,26,Tubo A
25,27,Tubo A
24,30,Tubo A
25,31,Tubo A
30,28,Tubo A
31,29,Tubo A
34,28,Tubo E
34,29,Tubo E
28,12,Tubo E
29,13,Tubo E
18,30,Tubo A
19,31,Tubo A
8,10,Tubo E
9,11,Tubo E
35,10,Tubo E
35,11,Tubo E
0,1,Tubo A
2,3,Tubo A
6,7,Tubo A
12,13,Tubo A
14,15,Tubo A
16,17,Tubo A
20,21,Tubo A
22,23,Tubo A
24,25,Tubo A
26,27,Tubo A
